dataset	split	K	paired_n	t_policy_original_sec_per_step	t_plan_original_sec	t_plan_llm_val_sec	t_total_original_sec	t_total_llm_val_sec	t_equiv_original_sec_per_step	t_equiv_llm_val_sec_per_step
DreamZero-DROID	ALL	3	150	2.13267706173705	0.0	4.378208616233654	6.398031185211149	10.776239801444802	2.13267706173705	3.5920799338149347
DreamZero-DROID	L1	3	50	2.131868231692352	0.0	4.308302371120808	6.395604695077056	10.703907066197864	2.131868231692352	3.5679690220659546
DreamZero-DROID	L2	3	50	2.1326770617370494	0.0	4.36011504391965	6.398031185211148	10.758146229130798	2.1326770617370494	3.586048743043599
DreamZero-DROID	L3	3	50	2.1334858917817474	0.0	4.466208433660504	6.400457675345242	10.866666109005745	2.1334858917817474	3.6222220363352484
DreamZero-AgiBot	ALL	3	147	2.1168457426906873	0.0	6.622485540101857	6.350537228072062	12.97302276817392	2.1168457426906873	4.324340922724639
DreamZero-AgiBot	L1	3	48	2.1168457426906873	0.0	6.789108835000111	6.350537228072062	13.139646063072174	2.1168457426906873	4.379882021024057
DreamZero-AgiBot	L2	3	49	2.1168457426906873	0.0	6.576834045509621	6.350537228072062	12.927371273581683	2.1168457426906873	4.3091237578605615
DreamZero-AgiBot	L3	3	50	2.1168457426906873	0.0	6.507265641699924	6.350537228072062	12.857802869771985	2.1168457426906873	4.285934289923995
