task_id,episode_id,trial_id,dyn,hsd,ndtw,psnr,scene_consistency
392,651464006,0,0.000,0.000,0.000,14.407504714189384,0.7057666194600027
392,651464014,0,0.000,0.000,0.000,15.729683879291484,0.7286263175156652
392,664600006,0,0.048,0.068,0.043,14.154899231203938,0.7750154430827787
392,664600014,0,0.000,0.000,0.000,14.600153936156119,0.7314681734955102
392,681186006,0,0.028,0.086,0.053,13.082945824484682,0.7606821889678638
MEAN,,,0.0152,0.0308,0.0192,14.395038,0.740312
,,,,,,,
# Diversity is calculated based on the generation results of different trails within the same episode. Only shown in trial_id=1. Others are marked with '-'.,,,,,,,
