task_id,episode_id,trial_id,dyn,hsd,ndtw,psnr,scene_consistency
367,649524000,0,0.002,0.104,0.064,3.371303538479955,0.827251311391592
367,649524001,0,0.000,0.111,0.067,3.213916650951875,0.9374616406857967
367,649524002,0,0.001,0.075,0.044,3.2154715558112783,0.9772630482912064
367,649524003,0,0.000,0.093,0.064,2.852895217648277,0.844776339828968
367,649559000,0,0.001,0.107,0.063,3.5947059650726763,0.8439568169414997
367,649559001,0,0.001,0.120,0.086,3.433629622054309,0.8317767269909382
367,649559002,0,0.000,0.077,0.044,3.392917808739558,0.9379009753465652
367,649559003,0,0.001,0.087,0.064,2.423623743780838,0.847985815256834
367,650191000,0,0.000,0.111,0.074,2.874333514386528,0.8723308891057968
367,650191001,0,0.000,0.107,0.102,3.3031937096386823,0.8825260773301125
367,650191002,0,0.000,0.120,0.062,3.161598306079811,0.8713880814611912
367,650191003,0,0.001,0.097,0.086,3.0657558409459353,0.9198095053434372
392,651464000,0,0.000,0.140,0.072,5.320866137649057,0.8266802839934826
392,651464001,0,0.000,0.000,0.000,3.0713559731740565,0.8626985773444176
392,651464002,0,0.000,0.000,0.000,4.3747100781578165,0.8074238933622837
392,651464003,0,0.000,0.113,0.071,4.085020080827839,0.8582086861133575
392,651464004,0,0.037,0.121,0.068,4.737195330226294,0.9462733082473278
392,651464005,0,0.000,0.000,0.000,3.3646800006839634,0.9706310331821442
392,651464006,0,0.000,0.000,0.000,1.5398357922787524,0.7857088111341
392,651464007,0,0.001,0.067,0.032,3.3196999564686505,0.7873538061976433
392,651464008,0,0.000,0.000,0.000,3.375480418851561,0.8278306685388088
392,651464009,0,0.000,0.111,0.069,7.424164863739644,0.8219018615782261
392,651464010,0,0.005,0.088,0.049,4.349230052183819,0.8672838732600212
392,651464011,0,0.000,0.000,0.000,3.028915276265568,0.9686363823711872
392,651464012,0,0.000,0.000,0.000,2.912361039831412,0.9827126748859882
392,651464013,0,0.000,0.000,0.000,3.525342323094424,0.8301121965050697
392,651464014,0,0.000,0.000,0.000,2.2377191923875586,0.8445034399628639
392,664600000,0,0.002,0.077,0.043,1.830557568585101,0.9957016855478287
392,664600001,0,0.000,0.000,0.000,3.272268103079459,0.9920198991894722
392,664600002,0,0.000,0.000,0.000,4.187148293915431,0.9958901256322861
392,664600003,0,0.001,0.085,0.047,2.892159622077793,0.9891318455338478
392,664600004,0,0.000,0.000,0.000,5.32013087949383,0.9884894117712975
392,664600005,0,0.000,0.071,0.041,3.204450961865333,0.7702558264136314
392,664600006,0,0.001,0.094,0.058,1.7771857989552,0.8969636484980583
392,664600007,0,0.000,0.055,0.034,2.787792890742038,0.8914083726704121
392,664600008,0,0.001,0.079,0.062,2.060317465944605,0.77594093978405
392,664600009,0,0.000,0.000,0.000,4.5323427157936145,0.8903796337544918
392,664600010,0,0.004,0.094,0.050,4.727259725668785,0.9160266071557999
392,664600011,0,0.000,0.000,0.000,4.700395659447772,0.9088709466159344
392,664600012,0,0.000,0.134,0.103,5.166276388968456,0.8841420598328114
392,664600013,0,0.000,0.148,0.079,3.991624634627062,0.9849945083260536
392,664600014,0,0.001,0.069,0.038,1.9527787134163739,0.9051025547087193
392,681186000,0,0.000,0.195,0.190,2.4453456194711234,0.822321955114603
392,681186001,0,0.001,0.125,0.069,2.702142109379664,0.9824552349746227
392,681186002,0,0.000,0.113,0.062,5.58978205458218,0.9196554347872734
392,681186003,0,0.001,0.087,0.047,2.2407701067031933,0.953071553260088
392,681186004,0,0.000,0.000,0.000,5.396231061663333,0.9597006812691689
392,681186005,0,0.000,0.091,0.055,4.807698688176334,0.9233387298882008
392,681186006,0,0.001,0.068,0.087,1.715490103653647,0.7687691152095795
392,681186007,0,0.001,0.074,0.058,2.760084488183739,0.9973138459026814
MEAN,,,0.00128,0.07016,0.04608,3.492603,0.893887
,,,,,,,
# Diversity is calculated based on the generation results of different trails within the same episode. Only shown in trial_id=1. Others are marked with '-'.,,,,,,,
