dataset,mode,split_left,split_right,n_left,n_right,success_left,success_right,success_rate_left,success_rate_right,odds_ratio,p_value,p_value_bh
Pooled,llm_dual,L1,L2,100,100,48,37,0.48,0.37,1.5717255717255718,0.15241377523564992,0.30392823306123684
Pooled,llm_dual,L2,L3,100,100,37,41,0.37,0.41,0.8451413085559427,0.6637550756767893,0.7965060908121471
Pooled,llm_val,L1,L2,100,100,56,43,0.56,0.43,1.6871035940803383,0.08942230222515292,0.30392823306123684
Pooled,llm_val,L2,L3,100,100,43,53,0.43,0.53,0.6689837802052301,0.20261882204082457,0.30392823306123684
Pooled,original,L1,L2,100,100,30,20,0.3,0.2,1.7142857142857142,0.14120674630517252,0.30392823306123684
Pooled,original,L2,L3,100,100,20,19,0.2,0.19,1.0657894736842106,1.0,1.0
