task_id,episode_id,trial_id,dyn,hsd,ndtw,psnr,scene_consistency
367,649524000,0,0.074,0.284,0.207,15.254047785233695,0.9099623560905457
367,649524001,0,0.026,0.087,0.061,13.130400469299603,0.8858505564351236
367,649524002,0,0.050,0.097,0.048,14.126299133036609,0.9131846030553182
367,649524003,0,0.017,0.088,0.068,12.450094706153534,0.7407180281976858
367,649559000,0,0.065,0.333,0.270,14.286268584229328,0.8820523652765486
367,649559001,0,0.001,0.092,0.054,13.477965949201273,0.8930528503039787
367,649559002,0,0.033,0.106,0.061,14.481511221662366,0.8829761599672252
367,649559003,0,0.019,0.089,0.089,14.94861384354536,0.8655808539617629
367,650191000,0,0.000,0.000,0.000,10.195671441936318,0.7161662337534568
367,650191001,0,0.020,0.144,0.109,11.52378128785904,0.7571730480111879
367,650191002,0,0.022,0.213,0.119,12.1231906083597,0.7967974144604898
367,650191003,0,0.015,0.092,0.068,11.512429075859119,0.8125527668744326
392,651464000,0,0.034,0.185,0.132,13.915782240366976,0.7161758212666762
392,651464001,0,0.000,0.000,0.000,12.76300371608218,0.7031389089191661
392,651464002,0,0.000,0.000,0.000,16.57002961693104,0.8202235835293928
392,651464003,0,0.049,0.232,0.167,16.859257388515804,0.9004088789224625
392,651464004,0,0.000,0.000,0.000,18.626123754831816,0.9555361730357012
392,651464005,0,0.000,0.000,0.000,15.76462894650272,0.8827525955789229
392,651464006,0,0.000,0.000,0.000,13.082420403030836,0.7553169936747164
392,651464007,0,0.008,0.128,0.120,14.002085332005331,0.7888596617814266
392,651464008,0,0.000,0.000,0.000,17.415522128358482,0.8396877971562472
392,651464009,0,0.027,0.313,0.376,18.348086868517758,0.9318444132804871
392,651464010,0,0.060,0.274,0.149,17.30323596758599,0.8830614995956421
392,651464011,0,0.000,0.000,0.000,14.921767305933935,0.8415572200066004
392,651464012,0,0.000,0.000,0.000,15.708284225684379,0.8688520550727844
392,651464013,0,0.000,0.000,0.000,14.170218440261205,0.7456880264705227
392,651464014,0,0.000,0.000,0.000,14.707499596956543,0.7689986995288304
392,664600000,0,0.037,0.297,0.513,12.62747400291092,0.7642629298509336
392,664600001,0,0.000,0.000,0.000,12.554549415903667,0.7283066948254903
392,664600002,0,0.000,0.000,0.000,12.959783260331472,0.7510256624740103
392,664600003,0,0.000,0.000,0.000,11.852407515852109,0.7487246869383631
392,664600004,0,0.000,0.000,0.000,14.448315552328289,0.8024129673838616
392,664600005,0,0.035,0.118,0.102,12.896264531265672,0.7645757505387971
392,664600006,0,0.030,0.067,0.042,13.357440487378865,0.8109946443188575
392,664600007,0,0.029,0.107,0.095,12.484178519010952,0.7452394091769269
392,664600008,0,0.049,0.116,0.065,13.655771639103456,0.7892798886579626
392,664600009,0,0.000,0.000,0.000,15.168868402935272,0.8113623820245266
392,664600010,0,0.051,0.264,0.156,14.793405794143496,0.8677933449330537
392,664600011,0,0.000,0.000,0.000,15.197246465573505,0.8939073889151864
392,664600012,0,0.000,0.000,0.000,14.794963842968345,0.7718635939416432
392,664600013,0,0.036,0.249,0.299,14.856480862535786,0.8142624618830504
392,664600014,0,0.000,0.000,0.000,13.920862496880723,0.7663418284633703
392,681186000,0,0.045,0.277,0.151,12.900194594369855,0.8349041785512652
392,681186001,0,0.000,0.000,0.000,10.84086344276922,0.7235566408318632
392,681186002,0,0.004,0.198,0.167,12.874897334227505,0.801420422270894
392,681186003,0,0.000,0.000,0.000,11.177821514453559,0.7763894640264057
392,681186004,0,0.031,0.722,0.792,15.8337838478447,0.9117992007070117
392,681186005,0,0.064,0.208,0.283,15.002997710871973,0.8678701576732454
392,681186006,0,0.025,0.086,0.051,12.86050696274449,0.7911540150642395
392,681186007,0,0.045,0.137,0.134,12.485811974210305,0.8345261762539545
MEAN,,,0.02002,0.11206,0.09896,14.024262,0.816603
,,,,,,,
# Diversity is calculated based on the generation results of different trails within the same episode. Only shown in trial_id=1. Others are marked with '-'.,,,,,,,
