term,beta,se,p_value,odds_ratio,z
Intercept,0.07915362896479491,0.2978551210408132,0.7904352942099921,1.0823705927716818,
duration_per_30s,-0.971586677329718,0.7667216754429049,0.20508519839906292,0.3784820325677769,
level_L2,-1.1941588945397925,0.32009084861695447,0.00019095804440127928,0.3029586672360855,
level_L3,-0.37427251772652087,0.22921172982109184,0.10249674427762057,0.6877894514693645,
dataset_AgiBot,-0.37073516585103,0.3508302184052901,0.2906317724772276,0.6902267129597895,
duration_per_30s:dataset_AgiBot,0.9299509136054731,0.7488284336524715,0.214282881190498,2.5343847707537974,
duration_per_30s | DROID slope,-0.971586677329718,0.7667216754429049,0.20508519839906292,0.3784820325677769,-1.2671960483815339
duration_per_30s | AgiBot net slope,-0.041635763724244934,0.08057720837097267,0.6053524243959783,0.9592190993437165,-0.5167188658678314
