term,beta,se,p_value,odds_ratio
Intercept,-0.23032462583071947,0.16567319627838129,0.16445762050993107,0.7942757182327993
duration_per_30s,-0.02428014601798954,0.07953524960802845,0.7601564975377859,0.976012245510649
level_L2,-1.1216880629070094,0.31496015597036864,0.00036893184619302133,0.3257294784192948
level_L3,-0.503930477419852,0.2060833610676761,0.01447417561748865,0.6041513835588341
dataset_AgiBot,-0.03695304344961891,0.22834402798037112,0.8714392815662699,0.9637213873184839
