term,beta,se,p_value,odds_ratio
Intercept,0.08430168963978396,0.299263947623918,0.7781760257228347,1.087957069679159
duration_per_10s,-0.38745854611546743,0.28176929662264916,0.1691030997395817,0.6787797717264867
level_L2,-1.1519058179144486,0.3293646979862426,0.0004698931660853667,0.31603389202130977
level_L3,-0.2585605850296207,0.3099066756482624,0.404102052658748,0.7721622481593511
