dataset,duration_bucket_abs,n,success_rate,success_rate_ci_lo,success_rate_ci_hi,mean_task_progress,mean_l2
AgiBot,0-30s,133,0.39849624060150374,0.3157894736842105,0.48120300751879697,0.512781954887218,0.08581792955802645
AgiBot,30-60s,56,0.42857142857142855,0.30357142857142855,0.5535714285714286,0.5071428571428571,0.08182993617707066
AgiBot,60-120s,50,0.32,0.2,0.46,0.44800000000000006,0.07635162250449261
AgiBot,120s+,61,0.26229508196721313,0.16393442622950818,0.3770491803278688,0.45901639344262285,0.0670725964722249
DROID,0-30s,397,0.32997481108312343,0.28463476070528965,0.37531486146095716,0.4869017632241814,0.1291343842886656
DROID,30-60s,3,0.0,0.0,0.0,0.26666666666666666,0.15665202552395877
