term,beta,se,p_value,odds_ratio
Intercept,-0.28283583275484303,0.18495153569448067,0.1262042257756728,0.7536435012820295
duration_per_30s,-0.014290502639219167,0.09437651416590738,0.8796443228398416,0.9858111219289623
level_L3,-0.5149510520006907,0.3433351092271682,0.13365334638549542,0.5975298417927196
