pooled_dataset,duration_bucket_abs,n,success_rate,success_rate_ci_lo,success_rate_ci_hi,mean_task_progress,mean_l2
Pooled,0-30s,530,0.3471698113207547,0.30566037735849055,0.3886792452830189,0.49339622641509434,0.11826440602607127
Pooled,30-60s,59,0.4067796610169492,0.288135593220339,0.5254237288135594,0.4949152542372881,0.08563444919470904
Pooled,60-120s,50,0.32,0.2,0.46,0.44800000000000006,0.07635162250449261
Pooled,120s+,61,0.26229508196721313,0.16393442622950818,0.3770491803278688,0.45901639344262285,0.0670725964722249
