task_id,episode_id,trial_id,dyn,hsd,ndtw,psnr,scene_consistency
392,651464006,0,0.000,0.000,0.000,13.08295654414769,0.6845296949550912
392,651464014,0,0.000,0.000,0.000,14.706946980617,0.7029076376739813
392,664600006,0,0.027,0.067,0.042,13.356674162768465,0.7667334978618929
392,664600014,0,0.000,0.000,0.000,13.92027592101136,0.708885371946452
392,681186006,0,0.027,0.086,0.050,12.860292119857403,0.7336897708475589
MEAN,,,0.0108,0.0306,0.0184,13.585429,0.719349
,,,,,,,
# Diversity is calculated based on the generation results of different trails within the same episode. Only shown in trial_id=1. Others are marked with '-'.,,,,,,,
