task_id,episode_id,trial_id,dyn,hsd,ndtw,psnr,scene_consistency
367,649524000,0,0.158,0.956,0.761,11.252635052117798,0.9456273806946618
MEAN,,,0.158,0.956,0.761,11.252635,0.945627
,,,,,,,
# Diversity is calculated based on the generation results of different trails within the same episode. Only shown in trial_id=1. Others are marked with '-'.,,,,,,,
