dataset,episode_id,split,mode,duration_sec,task_success,task_progress,mean_l2,source
DROID,1790,L2,original,9.6,1.0,0.7,0.10611095042079673,droid_3way_selected150.json
DROID,1790,L2,llm_dual,9.6,1.0,0.9,0.09501466731977255,droid_3way_selected150.json
DROID,1790,L2,llm_val,9.6,1.0,0.9,0.10463280333293508,droid_3way_selected150.json
DROID,1028,L3,original,16.2,0.0,0.3,0.2324948686751922,droid_3way_selected150.json
DROID,1028,L3,llm_dual,16.2,0.0,0.4,0.13330408046130396,droid_3way_selected150.json
DROID,1028,L3,llm_val,16.2,0.0,0.4,0.14554169324729968,droid_3way_selected150.json
DROID,1692,L1,original,7.133333333333334,1.0,0.7,0.08935912881938524,droid_3way_selected150.json
DROID,1692,L1,llm_dual,7.133333333333334,1.0,0.9,0.10007812246428766,droid_3way_selected150.json
DROID,1692,L1,llm_val,7.133333333333334,1.0,0.9,0.1092666722921246,droid_3way_selected150.json
DROID,1601,L1,original,6.733333333333333,1.0,0.7,0.07032657073841468,droid_3way_selected150.json
DROID,1601,L1,llm_dual,6.733333333333333,1.0,0.9,0.0919426422017892,droid_3way_selected150.json
DROID,1601,L1,llm_val,6.733333333333333,1.0,0.9,0.0919426422017892,droid_3way_selected150.json
DROID,1750,L3,original,15.8,0.0,0.3,0.15646276048355798,droid_3way_selected150.json
DROID,1750,L3,llm_dual,15.8,0.0,0.4,0.08976010728111374,droid_3way_selected150.json
DROID,1750,L3,llm_val,15.8,0.0,0.4,0.0945723704019021,droid_3way_selected150.json
DROID,1102,L3,original,15.8,0.0,0.3,0.14016824483385423,droid_3way_selected150.json
DROID,1102,L3,llm_dual,15.8,0.0,0.4,0.0828678857234544,droid_3way_selected150.json
DROID,1102,L3,llm_val,15.8,0.0,0.4,0.08518256352628954,droid_3way_selected150.json
DROID,1108,L2,original,11.066666666666666,0.0,0.3,0.14811891928516074,droid_3way_selected150.json
DROID,1108,L2,llm_dual,11.066666666666666,0.0,0.4,0.12220772301508583,droid_3way_selected150.json
DROID,1108,L2,llm_val,11.066666666666666,0.0,0.4,0.09814678207927181,droid_3way_selected150.json
DROID,1772,L1,original,7.066666666666666,0.0,0.3,0.1465481398780967,droid_3way_selected150.json
DROID,1772,L1,llm_dual,7.066666666666666,0.0,0.3,0.12111610662308807,droid_3way_selected150.json
DROID,1772,L1,llm_val,7.066666666666666,0.0,0.4,0.11037716152686468,droid_3way_selected150.json
DROID,1185,L3,original,15.466666666666667,1.0,0.9,0.050553875711809526,droid_3way_selected150.json
DROID,1185,L3,llm_dual,15.466666666666667,0.0,0.4,0.04099631429534873,droid_3way_selected150.json
DROID,1185,L3,llm_val,15.466666666666667,1.0,0.7,0.048381915369211874,droid_3way_selected150.json
DROID,1591,L2,original,8.533333333333333,0.0,0.3,0.20706527966952218,droid_3way_selected150.json
DROID,1591,L2,llm_dual,8.533333333333333,0.0,0.4,0.16103480483031096,droid_3way_selected150.json
DROID,1591,L2,llm_val,8.533333333333333,0.0,0.4,0.17652159457221658,droid_3way_selected150.json
DROID,1545,L3,original,12.466666666666667,1.0,0.7,0.08476237116539458,droid_3way_selected150.json
DROID,1545,L3,llm_dual,12.466666666666667,0.0,0.4,0.07163222204744245,droid_3way_selected150.json
DROID,1545,L3,llm_val,12.466666666666667,1.0,0.8,0.06359787861901255,droid_3way_selected150.json
DROID,1510,L2,original,8.866666666666667,1.0,0.7,0.10329765517336376,droid_3way_selected150.json
DROID,1510,L2,llm_dual,8.866666666666667,0.0,0.3,0.12974838247401274,droid_3way_selected150.json
DROID,1510,L2,llm_val,8.866666666666667,1.0,0.8,0.08774377547508977,droid_3way_selected150.json
DROID,1127,L2,original,8.333333333333334,0.0,0.3,0.07732096879249736,droid_3way_selected150.json
DROID,1127,L2,llm_dual,8.333333333333334,0.0,0.4,0.06553063025075534,droid_3way_selected150.json
DROID,1127,L2,llm_val,8.333333333333334,0.0,0.4,0.07001600469711942,droid_3way_selected150.json
DROID,1727,L1,original,5.133333333333334,1.0,0.7,0.06322112738963655,droid_3way_selected150.json
DROID,1727,L1,llm_dual,5.133333333333334,0.0,0.4,0.07469942633084452,droid_3way_selected150.json
DROID,1727,L1,llm_val,5.133333333333334,1.0,0.8,0.07573594354751885,droid_3way_selected150.json
DROID,1066,L3,original,12.066666666666666,0.0,0.4,0.2074222928805948,droid_3way_selected150.json
DROID,1066,L3,llm_dual,12.066666666666666,0.0,0.4,0.2226554865750224,droid_3way_selected150.json
DROID,1066,L3,llm_val,12.066666666666666,0.0,0.4,0.12080011872089269,droid_3way_selected150.json
DROID,1917,L2,original,10.933333333333334,0.0,0.3,0.14340293698237364,droid_3way_selected150.json
DROID,1917,L2,llm_dual,10.933333333333334,0.0,0.0,0.17649965752561866,droid_3way_selected150.json
DROID,1917,L2,llm_val,10.933333333333334,0.0,0.4,0.1602525991281695,droid_3way_selected150.json
